model,battles,wins,losses,ties,tie_adjusted_win_rate
gpt-4-1106-preview,7387,4073,1287,2027,0.6885745228103425
gpt-3.5-turbo-0314,1302,711,257,334,0.674347158218126
gpt-4-0125-preview,1160,596,202,362,0.6698275862068965
gpt-4-0314,4122,1993,930,1199,0.628942261038331
claude-1,3978,1747,1045,1186,0.5882352941176471
qwen1.5-72b-chat,551,215,155,181,0.5544464609800362
gpt-4-0613,6165,2450,1856,1859,0.5481751824817518
claude-instant-1,4136,1642,1280,1214,0.5437620889748549
llama-2-70b-chat,3428,1277,1038,1113,0.5348599766627772
claude-2.0,2456,956,785,715,0.5348127035830619
mistral-medium,3315,1219,1012,1084,0.5312217194570136
yi-34b-chat,1447,531,442,474,0.5307532826537664
wizardlm-13b,1580,572,483,525,0.5281645569620254
guanaco-33b,684,246,211,227,0.5255847953216374
vicuna-13b,3448,1244,1127,1077,0.5169663573085846
wizardlm-70b,1644,588,534,522,0.5164233576642335
starling-lm-7b-alpha,1134,402,368,364,0.5149911816578483
vicuna-33b,3720,1268,1178,1274,0.5120967741935484
mpt-30b-chat,598,207,197,194,0.5083612040133779
koala-13b,1598,561,541,496,0.5062578222778473
mixtral-8x7b-instruct-v0.1,3545,1196,1210,1139,0.49802538787023976
gpt-3.5-turbo-0613,7083,2381,2485,2217,0.4926584780460257
llama-2-13b-chat,2607,856,913,838,0.4890678941311853
llama-2-7b-chat,1793,554,620,619,0.4815950920245399
gpt-3.5-turbo-0125,861,268,308,285,0.47677119628339143
tulu-2-dpo-70b,1200,378,439,383,0.47458333333333336
openhermes-2.5-mistral-7b,952,280,329,343,0.4742647058823529
gemini-pro,1438,465,543,430,0.4728789986091794
gemini-pro-dev-api,1486,480,563,443,0.4720726783310902
zephyr-7b-alpha,412,119,148,145,0.46480582524271846
nous-hermes-2-mixtral-8x7b-dpo,325,106,129,90,0.4646153846153846
openchat-3.5,1632,473,593,566,0.4632352941176471
palm-2,1977,637,796,544,0.4597875569044006
zephyr-7b-beta,2401,714,910,777,0.45918367346938777
pplx-70b-online,1420,448,567,405,0.4580985915492958
claude-2.1,5583,1703,2266,1614,0.44957907934802077
vicuna-7b,1591,448,633,510,0.4418604651162791
codellama-34b-instruct,1474,427,600,447,0.44131614654002715
dolphin-2.2.1-mistral-7b,373,95,145,133,0.43297587131367293
openchat-3.5-0106,244,63,96,85,0.4323770491803279
solar-10.7b-instruct-v1.0,899,242,372,285,0.42769744160177975
qwen-14b-chat,1072,276,433,363,0.42677238805970147
llama2-70b-steerlm-chat,667,179,279,209,0.4250374812593703
falcon-180b-chat,286,78,125,83,0.4178321678321678
gpt-3.5-turbo-1106,3352,871,1446,1035,0.4142303102625298
deepseek-llm-67b-chat,795,190,329,276,0.4125786163522013
mistral-7b-instruct-v0.2,100,27,45,28,0.41
qwen1.5-7b-chat,208,51,89,68,0.40865384615384615
alpaca-13b,1403,356,626,421,0.4037776193870278
pplx-7b-online,1250,328,569,353,0.4036
mistral-7b-instruct,1617,387,711,519,0.39981447124304265
stripedhyena-nous-7b,914,206,400,308,0.3938730853391685
gpt4all-13b-snoozy,408,93,184,131,0.38848039215686275
RWKV-4-Raven-14B,1158,265,534,359,0.38385146804835923
mpt-7b-chat,928,213,430,285,0.38308189655172414
oasst-pythia-12b,1494,343,725,426,0.37215528781793844
qwen1.5-4b-chat,200,35,89,76,0.365
fastchat-t5-3b,1021,196,506,319,0.34818805093046035
chatglm-6b,1261,217,609,435,0.3445678033306899
stablelm-tuned-alpha-7b,771,132,400,239,0.32619974059662776
dolly-v2-12b,800,124,432,244,0.3075
chatglm3-6b,989,157,538,294,0.30738119312436807
llama-13b,547,88,304,155,0.30255941499085925
chatglm2-6b,564,73,320,171,0.28102836879432624
