model,bt_score
gpt-4-0125-preview,1.7962295953000398
gpt-4-1106-preview,1.7594116259723136
gpt-4-0314,1.14203332199932
gpt-4-0613,0.986423717124067
qwen1.5-72b-chat,0.9166749014302813
mistral-medium,0.8926256823220162
claude-1,0.8243027036995667
claude-2.0,0.6949105258246621
gemini-pro-dev-api,0.649518262858411
yi-34b-chat,0.634440384449262
gemini-pro,0.6218282900820017
mixtral-8x7b-instruct-v0.1,0.6131600704587437
claude-2.1,0.5983980749911805
gpt-3.5-turbo-0613,0.5528283033404057
llama-2-70b-chat,0.527379563970215
starling-lm-7b-alpha,0.5273407763183807
wizardlm-70b,0.5234039025889196
claude-instant-1,0.512234763990142
nous-hermes-2-mixtral-8x7b-dpo,0.4996341651822661
gpt-3.5-turbo-0125,0.49708511524291155
vicuna-33b,0.47708928086051505
gpt-3.5-turbo-0314,0.47163912407812236
tulu-2-dpo-70b,0.3623681808412565
pplx-70b-online,0.30705289965942756
openhermes-2.5-mistral-7b,0.2734350403836352
openchat-3.5,0.2690115489203258
deepseek-llm-67b-chat,0.2569484454292689
solar-10.7b-instruct-v1.0,0.2100340817017077
llama2-70b-steerlm-chat,0.20797790963767798
gpt-3.5-turbo-1106,0.19010963403614595
wizardlm-13b,0.18837446584183692
dolphin-2.2.1-mistral-7b,0.1866039227312311
openchat-3.5-0106,0.091111841080805
llama-2-13b-chat,0.08362875611664511
codellama-34b-instruct,0.0649041390627047
llama-2-7b-chat,0.05445594213756437
zephyr-7b-beta,0.03289442828820238
mpt-30b-chat,0.02588511310646993
mistral-7b-instruct-v0.2,0.01723284423290728
pplx-7b-online,0.007505449842124883
guanaco-33b,-0.018045929153938173
qwen1.5-7b-chat,-0.055285013938472585
vicuna-13b,-0.06787292942982476
zephyr-7b-alpha,-0.11371136390361009
falcon-180b-chat,-0.1424545392570364
stripedhyena-nous-7b,-0.16968942391611713
qwen-14b-chat,-0.22658647131729437
palm-2,-0.24204160926864463
mistral-7b-instruct,-0.3607815835527269
vicuna-7b,-0.40583801416312415
koala-13b,-0.5081513709652931
qwen1.5-4b-chat,-0.5281295550304435
chatglm3-6b,-0.7675127717805272
gpt4all-13b-snoozy,-0.8999730587766483
mpt-7b-chat,-1.0527770825302638
alpaca-13b,-1.1334894876067716
RWKV-4-Raven-14B,-1.1403018842990031
chatglm2-6b,-1.2517984057879508
oasst-pythia-12b,-1.2967958709433625
fastchat-t5-3b,-1.4536848614974065
chatglm-6b,-1.6414214328695993
stablelm-tuned-alpha-7b,-1.9155703959290573
dolly-v2-12b,-1.9875721096159815
llama-13b,-2.1686416296005846
